Samples,input,filtered,denoisedF,denoisedR,merged,nonchim
OPF1D1b,3118,3079,2969,2974,2881,2881
OPF1D2b,3056,2989,2913,2899,2856,2856
OPF1D3b,3944,3859,3757,3746,3618,3618
OPF1D4b,3386,3208,3118,3113,2968,2968
OPF1D5b,4115,4048,3968,3983,3820,3820
OPF1D6b,3749,3677,3616,3611,3513,3510
OPF1D7b,2539,2400,2359,2355,2261,2248
OPF1D8b,2844,2806,2730,2730,2682,2682
OPF1D9b,2130,1990,1929,1941,1912,1912
OPF1D10b,3868,3822,3753,3762,3709,3630
OPF1D11b,3591,3456,3387,3399,3361,3361
OPF1D12b,3645,3594,3529,3540,3504,3479
OPF1D13b,3901,3849,3790,3807,3701,3690
OPF1D14b,3084,3032,2960,2981,2877,2864
OPF1D15b,3591,3539,3465,3486,3378,3367
OPF1D16b,3151,3092,3037,3047,2987,2955
OPF1D17b,2591,2544,2489,2503,2406,2403
OPF1D18b,2823,2788,2744,2747,2727,2727
OPF1D19b,3514,3459,3351,3429,3332,3332
OPF1D20b,3636,3586,3510,3546,3450,3448
OPF1D21b,2462,2387,2340,2353,2291,2291
OPF1D22b,3569,3509,3437,3454,3364,3357
OPF1D23b,3470,3408,3274,3384,3206,3202
OPF1D24b,3010,2958,2918,2924,2872,2872
OPF1D25b,2690,2629,2553,2596,2505,2505
OPF1D26b,2377,2342,2285,2319,2258,2258
OPF1D27b,998,957,911,939,909,907
OPF1D28b,4162,4091,4037,4053,3977,3977
OPF1D28APb,3687,3612,3568,3582,3538,3538
,,,,,,
OPF7D1b,3081,3021,2925,2943,2692,2692
OPF7D2b,2219,2175,2094,2118,1880,1880
OPF7D3b,2709,2660,2575,2566,2498,2494
OPF7D4b,3627,3567,3497,3487,3404,3404
OPF7D5b,3240,3169,3085,3094,2821,2821
OPF7D6b,3526,3438,3364,3361,3260,3260
OPF7D7b,3255,3151,3053,3069,3002,3002
OPF7D8b,2638,2592,2495,2527,2479,2479
OPF7D9b,2673,2632,2568,2587,2544,2541
OPF7D10b,2207,2177,2110,2130,2103,2103
OPF7D11b,3104,2954,2899,2904,2878,2878
OPF7D12b,3147,3090,3018,3024,2984,2984
OPF7D13b,3347,3295,3252,3262,3199,3195
OPF7D14b,2441,2209,2093,2171,2058,2055
OPF7D15b,3189,3148,3108,3129,3048,3048
OPF7D16b,2226,2194,2117,2149,2076,2076
OPF7D17b,3811,3776,3724,3736,3598,3598
OPF7D18b,4331,4267,4188,4204,4121,4113
OPF7D19b,3144,3031,2929,2978,2884,2884
OPF7D20b,3042,2984,2904,2936,2795,2795
OPF7D21b,4027,3918,3870,3867,3688,3682
OPF7D22b,4158,4085,3999,4023,3920,3920
OPF7D23b,3243,3191,3161,3162,3124,3124
OPF7D24b,3475,3408,3306,3350,3206,3206
OPF7D25b,3261,3207,3146,3160,3077,3077
OPF7D26b,4199,4127,4048,4085,3935,3907
OPF7D27b,4656,4549,4443,4449,4273,4273
OPF7D28b,1264,896,834,869,734,734
OPF7D28APb,4137,4098,4019,4008,3907,3907
